IOC,Source,Score,Tags
160.191.214.174,VirusTotal,3,
160.191.214.174,AbuseIPDB,26,
45.129.139.150,VirusTotal,3,
45.129.139.150,AbuseIPDB,63,
zupshare.com,VirusTotal,15,malicious
160.191.214.174,VirusTotal,3,
160.191.214.174,AbuseIPDB,26,
45.129.139.150,VirusTotal,3,
45.129.139.150,AbuseIPDB,63,
zupshare.com,VirusTotal,15,malicious
160.191.214.174,VirusTotal,3,
160.191.214.174,AbuseIPDB,26,
45.129.139.150,VirusTotal,3,
45.129.139.150,AbuseIPDB,63,
zupshare.com,VirusTotal,15,malicious
zupshare.com,VirusTotal,15,malicious
160.191.214.174,VirusTotal,3,
160.191.214.174,AbuseIPDB,26,
45.129.139.150,VirusTotal,3,
45.129.139.150,AbuseIPDB,63,
zupshare.com,VirusTotal,15,malicious
160.191.214.174,VirusTotal,3,
160.191.214.174,AbuseIPDB,26,
45.129.139.150,VirusTotal,3,
45.129.139.150,AbuseIPDB,63,
zupshare.com,VirusTotal,15,malicious
